nested_cv_dev_auc,cohort,n,events,auc,auc_lo,auc_hi,brier,cal_slope,cal_intercept,sens,spec,ppv,npv
0.81,MIMIC internal test,5762,1848,0.809004251582177,0.7975346832238849,0.8198523972392603,0.16340139136523937,0.971485665244332,-0.17046191400860988,0.7326839826839827,0.7230454777721002,0.5553732567678425,0.8513838748495788
0.81,eICU primary (Sepsis-3),2409,870,0.7113784887932901,0.6895870217917938,0.7322723296531182,0.22038605190047147,0.6309978014625771,0.31039433707500863,0.3482758620689655,0.8505523066926576,0.5684803001876173,0.6977611940298507
0.81,eICU alternative,13384,5640,0.7259818170828205,0.7175982898620409,0.734211151804241,0.23383604850507886,0.740766491951167,0.5844198254000705,0.3950354609929078,0.8353564049586777,0.6360262632029688,0.6546908207671288
0.81,APS III: MIMIC internal test,5762,1848,0.6597885379822018,0.6453668339014434,0.6751367560630872,0.2110351065788888,,,0.5551948051948052,0.6596831885539091,0.4351145038167939,0.7585193889541716
0.81,APS III: eICU primary (Sepsis-3),2409,870,0.6506176573831343,0.6275115505113934,0.6730988591420403,0.22520958092111534,,,0.15402298850574714,0.9376218323586745,0.5826086956521739,0.6622303809086737
0.81,APS III: eICU alternative,13384,5640,0.6611447297564621,0.6521462240309683,0.6699422175187701,0.23717520364565192,,,0.20195035460992908,0.9178719008264463,0.6416901408450705,0.612283573089844
